"","AverageSlope","Elevation","FireMortality","DeadBA0607","DistanceFromFireEdge","litter2009","bare2009","hostCWD","PreFireSODmortality","Shrub.BA.LIVE.13","LIDEsurvivingBA","PostFireLIDEresprouting","SESEsurvivingBA","PostFireSESEresprouting","UMCAsurvivingBA","PostFireUMCAresprouting","ARMEsurvivingBA","PostFireARMEresprouting","QUAGsurvivingBA","PostFireQUAGresprouting","QUPAsurvivingBA","PostFireQUPAresprouting","PostFireQUCHresprouting","QUERsurvivingBA","PostFireQUERresprouting","P_ramorum","Burned_2008","ForestAllianceType","DiseaseStage","Samplingtmax","PFtmax5yr","PFtmax2yr","PFtmax1yr","PFtmaxtot","Samplingtmin","PFtmin5yr","PFtmin2yr","PFtmin1yr","PFtmintot","SamplingPrecip","PFPrecip5yr","PFPrecip2yr","PFPrecip1yr","PFPreciptot","Samplingtmean","PFtmean5yr","PFtmean2yr","PFtmean1yr","PFtmeantot","DistCoast","lideseed2013","seseseed2013","quagseed2013","quchseed2013","qupaseed2013","armeseed2013","umcaseed2013","seedlings2013","saplings2013","BigSurPlot"
"22",35,700,1.47314227535255,0,1319.18782,0,0,0.141371669411541,0,0,0,0,0,0,0,0,0,0,1.46872441068344,0.000226980069221863,0,0,0,1.46872441068344,0.000226980069221863,FALSE,TRUE,"MixedEvergreen","EARLY",10.8999996185303,10.2299995422363,10.7299995422363,10.7299995422363,10.2299995422363,3.16000008583069,2.10999989509583,3.86999988555908,3.86999988555908,2.10999989509583,990.381508752704,1018.87999157906,1080.90500378609,789.389992237091,789.389992237091,15.192625011007,13.8517499725024,13.9920832663774,14.39749994874,14.3633124865591,3.34860393325772,0,0,49,0,0,0,19,68,2,"BS044"
"24",36.5,575,1.44093859445876,0.105529238826735,1873.258127,0.1,0.03,0.490873852123405,0.105529238826735,0,0,0,0,0,0.452339862032636,0.0270734600904734,0,0,0.92384108305768,0,0,0,0,0.92384108305768,0,FALSE,TRUE,"MixedEvergreen","EARLY",10.8999996185303,10.2299995422363,10.7299995422363,10.7299995422363,10.2299995422363,3.16000008583069,2.10999989509583,3.86999988555908,3.86999988555908,2.10999989509583,990.381508752704,1018.87999157906,1080.90500378609,789.389992237091,789.389992237091,15.192625011007,13.8517499725024,13.9920832663774,14.39749994874,14.3633124865591,2.96971671545999,0,0,19,0,0,0,41,60,12,"BS046"
"25",35,679,2.3518418135708,0,2084.666123,0.625,0.5,1.13097335529233,0,0,0,0,0,0,0,0,0,0,2.35149545298074,0.000644026493985908,0,0,0,2.35149545298074,0.000644026493985908,FALSE,TRUE,"MixedEvergreen","EARLY",10.8999996185303,10.2299995422363,10.7299995422363,10.7299995422363,10.2299995422363,3.16000008583069,2.10999989509583,3.86999988555908,3.86999988555908,2.10999989509583,990.381508752704,1018.87999157906,1080.90500378609,789.389992237091,789.389992237091,15.192625011007,13.8517499725024,13.9920832663774,14.39749994874,14.3633124865591,3.91469336535415,0,0,13,0,0,0,3,16,2,"BS047"
"28",34,541,0.790213439537238,0.642818551610602,1063.526898,0.875,0.03,0,0.642818551610602,0,0.856187670660787,0.00330495547157646,2.28465728387745,0.0098803088955399,0.365795267611545,0.0150647221721265,0,0,0,0,0,0,0,0,0,FALSE,TRUE,"Redwood","EARLY",13.6300001144409,13.0500001907349,13.6800003051758,14.0299997329712,13.0500001907349,7.25,6.19000005722046,6.76000022888184,6.76000022888184,6.19000005722046,631.026995996013,667.373998200893,727.394993603229,515.329990983009,515.329990983009,15.2580416798592,13.9398333350817,14.0829166273276,14.3116665681203,14.4122187520067,1.75064401734986,6,2,101,0,0,1,163,276,3,"BS052"
"29",35.5,0,0.131349988846589,0.020731369921039,696.1284008,0.1,0.03,0,0.020731369921039,0.00114039813325309,0.00490166993776347,0,5.7992653703949,0.07145788110039,0,0.0045560947458686,0,0,0,0,0,0,0,0,0,FALSE,TRUE,"Redwood","EARLY",13.6300001144409,13.0500001907349,13.6800003051758,14.0299997329712,13.0500001907349,7.25,6.19000005722046,6.76000022888184,6.76000022888184,6.19000005722046,631.026995996013,667.373998200893,727.394993603229,515.329990983009,515.329990983009,15.2580416798592,13.9398333350817,14.0829166273276,14.3116665681203,14.4122187520067,1.2935128308081,5,3,0,0,0,0,4,12,8,"BS053"
"31",31,592,1.30034996701613,0.143952487776465,1820.238562,0,0,0,0.143952487776465,0,0,0,0,0,0.491209217139176,0.0103806075256241,0,0,0.533229589677266,0,0,0,0,0.533229589677266,0,FALSE,TRUE,"MixedEvergreen","EARLY",10.8999996185303,10.2299995422363,10.7299995422363,10.7299995422363,10.2299995422363,3.16000008583069,2.10999989509583,3.86999988555908,3.86999988555908,2.10999989509583,990.381508752704,1018.87999157906,1080.90500378609,789.389992237091,789.389992237091,15.192625011007,13.8517499725024,13.9920832663774,14.39749994874,14.3633124865591,3.34149028649942,0,0,44,0,0,0,10,55,8,"BS057"
"37",27,720,2.42696122090895,0.0766689979145321,42.37954339,0,0,0,0.15087498718865,0,2.06674620724834,0.00176793126580766,0,0,0,0,0,0,0.192436687199316,0,0,0,0,0.192436687199316,0,FALSE,TRUE,"MixedEvergreen","EARLY",12.6800003051758,12.0699996948242,12.7399997711182,12.8699998855591,12.0699996948242,4.03000020980835,3.20000004768372,4.48999977111816,4.48999977111816,3.20000004768372,840.856504902243,881.7199898839,947.724996745587,673.019992709159,673.019992709159,15.2342708110809,13.8374166448911,13.9649999638399,14.3033332427343,14.3647135297457,3.36470399603675,328,0,16,0,0,16,2,364,38,"BS066"
"75",29,538,2.11068216590696,1.08179879088385,348.6324198,0.03,0.625,0.356374416641592,1.08179879088385,0.000493230046613598,0,0,0,0,0.11167497945532,0.354000943391805,0,0,0.362987469177399,0.000435110582522186,0,0,0,0.362987469177399,0.000435110582522186,TRUE,TRUE,"MixedEvergreen","LATE",15.0900001525879,14.460000038147,15.4300003051758,15.4300003051758,14.460000038147,6.21000003814697,3.95000004768372,4.94000005722046,4.94000005722046,3.95000004768372,652.731501132249,681.44000262022,765.109999537468,553.829991817475,553.829991817475,15.3214583992958,13.7490833302339,13.9583333233992,14.0970834096273,14.2782812677324,3.09228078183544,0,0,37,0,0,0,20,60,4,"BS132"
"94",13.5,635,2.26608418810943,0.107074902412301,299.176127,0.625,0.1,0,0.107074902412301,0,0.466436973667457,0,0,0,0,0,1.1090528925519,0,0.105753862701466,0,0,0,0,0.105753862701466,0,FALSE,TRUE,"MixedEvergreen","EARLY",14.8599996566772,14.0299997329712,15.3500003814697,15.3900003433228,14.0299997329712,4.67999982833862,2.70000004768372,3.25999999046326,3.25999999046326,2.70000004768372,830.710502594709,833.184001064301,902.659998089076,637.369998693467,637.369998693467,15.2314790487289,13.7167500535647,13.9189584503571,14.0466667711735,14.2404739633203,6.29488259975175,0,0,0,0,0,0,0,0,0,"BS158"
"96",37.5,386,1.07173705501256,0.00756259891535403,3081.780554,0.875,0.1,0,0.0094192801736256,0,2.01524843507253,0.0269470109861665,5.31356807756645,0.0152508615368517,0,0,0,0.000380132711084365,0,0,0,0,0,0,0,FALSE,TRUE,"Redwood","EARLY",14.3800001144409,13.4700002670288,14.6800003051758,15.1000003814697,13.4700002670288,3.77999997138977,2.4300000667572,2.60999989509583,2.60999989509583,2.4300000667572,905.197493895888,897.486006343365,969.085000544787,680.239994525909,680.239994525909,15.7187084108591,14.2509166419506,14.4193748484055,14.6187498470147,14.774833333989,7.43493861373427,269,23,0,0,4,44,2,347,26,"BS160"
